timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686592326315,36,https://www.webstaurantstore.com/images/outlet/medium/62855/315375.jpg,200,OK,Outlets Test 1-1,bin,true,,4207,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62855/315375.jpg,36,0,0
1686592326318,25,https://www.webstaurantstore.com/images/outlet/medium/62265/309971.jpg,200,OK,Outlets Test 1-1,bin,true,,4706,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62265/309971.jpg,25,0,0
1686592326319,24,https://www.webstaurantstore.com/images/outlet/medium/62693/313801.jpg,200,OK,Outlets Test 1-1,bin,true,,5793,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62693/313801.jpg,23,0,0
1686592326327,38,https://www.webstaurantstore.com/images/outlet/medium/62393/311113.jpg,200,OK,Outlets Test 1-1,bin,true,,6332,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62393/311113.jpg,38,0,0
1686592326339,23,https://www.webstaurantstore.com/images/outlet/medium/62713/314061.jpg,200,OK,Outlets Test 1-1,bin,true,,5853,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62713/314061.jpg,22,0,0
1686592326340,25,https://www.webstaurantstore.com/images/outlet/medium/62293/310195.jpg,200,OK,Outlets Test 1-1,bin,true,,7566,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62293/310195.jpg,25,0,0
1686592326343,26,https://www.webstaurantstore.com/images/outlet/medium/62955/316227.jpg,200,OK,Outlets Test 1-1,bin,true,,7627,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62955/316227.jpg,25,0,0
1686592326343,25,https://www.webstaurantstore.com/images/outlet/medium/59727/287031.jpg,200,OK,Outlets Test 1-1,bin,true,,3933,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/59727/287031.jpg,24,0,0
1686592326351,31,https://www.webstaurantstore.com/images/outlet/medium/62829/315123.jpg,200,OK,Outlets Test 1-1,bin,true,,5785,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62829/315123.jpg,31,0,0
1686592326362,28,https://www.webstaurantstore.com/images/outlet/medium/62487/311937.jpg,200,OK,Outlets Test 1-1,bin,true,,8851,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62487/311937.jpg,27,0,0
1686592326365,29,https://www.webstaurantstore.com/images/outlet/medium/62793/314851.jpg,200,OK,Outlets Test 1-1,bin,true,,4425,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62793/314851.jpg,29,0,0
1686592326365,26,https://www.webstaurantstore.com/images/outlet/medium/62901/315715.jpg,200,OK,Outlets Test 1-1,bin,true,,7907,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62901/315715.jpg,26,0,0
